dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
Wine;FA;2;0.82095310;0.95541864;0.70312474;9.58339654
Wine;FA;3;0.88937235;0.97488358;0.76466116;15.85853913
Wine;G-RP;2;0.71232630;0.93404679;0.45078693;0.22939050
Wine;G-RP;3;0.86172207;0.96963177;0.61172515;0.12472705
Wine;H-LLE;2;0.53919613;0.74275455;0.21049100;0.98627038
Wine;H-LLE;3;0.68411626;0.87271220;0.38865538;0.98134063
Wine;I-PCA;2;0.83175787;0.97478697;0.72847627;0.16550140
Wine;I-PCA;3;0.94954524;0.99179855;0.92955280;0.04960249
Wine;ISO;2;0.87233133;0.97814995;0.79538421;0.86008327
Wine;ISO;3;0.94798813;0.98982397;0.85719070;1.09988904
Wine;K-PCA-P;2;0.86412602;0.97474494;0.84174460;0.37666835
Wine;K-PCA-P;3;0.94732725;0.99135931;0.93488652;0.29609065
Wine;K-PCA-R;2;0.86759206;0.97484023;0.83527672;0.49579518
Wine;K-PCA-R;3;0.94671959;0.99138658;0.93241771;0.42538856
Wine;K-PCA-S;2;0.86857919;0.97479789;0.83486918;0.75176649
Wine;K-PCA-S;3;0.94742086;0.99136095;0.93280490;0.71332737
Wine;L-LTSA;2;0.65385525;0.88655389;0.26238061;0.94162747
Wine;L-LTSA;3;0.72389783;0.93774528;0.35489520;0.91969156
Wine;L-MDS;2;0.86864408;0.97502134;0.83604537;0.12237656
Wine;L-MDS;3;0.94623727;0.99120195;0.93315981;0.04851021
Wine;LE;2;0.88138315;0.96629140;0.71916208;0.99623323
Wine;LE;3;0.92779644;0.96955297;0.63172342;0.99535145
Wine;LLE;2;0.79338015;0.89140068;0.19173139;0.97468400
Wine;LLE;3;0.85745785;0.89340866;0.13572799;0.96109551
Wine;LPP;2;0.81713258;0.96712064;0.63535144;0.99190727
Wine;LPP;3;0.88567079;0.98491953;0.76532460;0.98995900
Wine;LTSA;2;0.61656787;0.56949584;-0.12176048;0.99620902
Wine;LTSA;3;0.64863701;0.57663482;-0.15284408;0.99364765
Wine;M-LLE;2;0.75057678;0.89547206;0.38425206;0.99401571
Wine;M-LLE;3;0.79008238;0.90370626;0.39087779;0.99307727
Wine;MDS;2;0.87612031;0.92366426;0.85294023;0.06350108
Wine;MDS;3;0.95834570;0.99027110;0.96122924;0.01518317
Wine;N-MDS;2;0.52401124;0.51614149;0.07031761;0.54777140
Wine;N-MDS;3;0.53292509;0.51777037;0.07226954;0.48199672
Wine;NMF;2;0.77000651;0.95786994;0.57662370;0.77771160
Wine;NMF;3;0.91231072;0.98495607;0.83928646;0.66296741
Wine;NPE;2;0.76820742;0.95136669;0.49892837;0.96711859
Wine;NPE;3;0.86509653;0.98169720;0.70285565;0.94622144
Wine;PCA;2;0.86732600;0.97478961;0.83832671;0.12167977
Wine;PCA;3;0.94776154;0.99137018;0.93419886;0.04781447
Wine;S-PCA;2;0.86679426;0.97490007;0.81817539;0.13626812
Wine;S-PCA;3;0.94729985;0.99131633;0.92278699;0.05412730
Wine;S-RP;2;0.70453171;0.84983036;0.41260395;0.35902133
Wine;S-RP;3;0.79079458;0.94042851;0.57048508;0.16652036
Wine;SPE;2;0.84482488;0.93347716;0.85944264;0.11752405
Wine;SPE;3;0.94734971;0.98294822;0.94718221;0.08219643
